,title,author
0,"Ready Player One (Ready Player One, #1)",Ernest Cline
1,The Martian,Andy Weir
2,"Old Man's War (Old Man's War, #1)",John Scalzi
3,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins
4,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey
5,"Wool Omnibus (Silo, #1)",Hugh Howey
6,"Red Rising (Red Rising Saga, #1)",Pierce Brown
7,The Road,Cormac McCarthy
8,Anathem,Neal Stephenson
9,World War Z: An Oral History of the Zombie War,Max Brooks
10,"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan
11,The Windup Girl,Paolo Bacigalupi
12,Cloud Atlas,David Mitchell
13,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood
14,"Revelation Space (Revelation Space, #1)",Alastair Reynolds
15,"Pandora's Star (Commonwealth Saga, #1)",Peter F. Hamilton
16,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie
17,11/22/63,Stephen King
18,Never Let Me Go,Kazuo Ishiguro
19,"Perdido Street Station (New Crobuzon, #1)",China Miéville
20,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin
21,"Spin (Spin, #1)",Robert Charles Wilson
22,"Catching Fire (The Hunger Games, #2)",Suzanne Collins
23,"The Ghost Brigades (Old Man's War, #2)",John Scalzi
24,Redshirts,John Scalzi
25,"Divergent (Divergent, #1)",Veronica Roth
26,Seveneves,Neal Stephenson
27,The City & the City,China Miéville
28,"Blindsight (Firefall, #1)",Peter Watts
29,"Mockingjay (The Hunger Games, #3)",Suzanne Collins
30,"Daemon (Daemon, #1)",Daniel Suarez
31,The Time Traveler's Wife,Audrey Niffenegger
32,Reamde,Neal Stephenson
33,"Caliban's War (The Expanse, #2)",James S.A. Corey
34,"Golden Son (Red Rising Saga, #2)",Pierce Brown
35,"Little Brother (Little Brother, #1)",Cory Doctorow
36,"The Passage (The Passage, #1)",Justin Cronin
37,"Ilium (Ilium, #1)",Dan Simmons
38,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson
39,Chasm City,Alastair Reynolds
40,"Pattern Recognition (Blue Ant, #1)",William Gibson
41,House of Suns,Alastair Reynolds
42,Embassytown,China Miéville
43,Station Eleven,Emily St. John Mandel
44,"Matter (Culture, #8)",Iain M. Banks
45,"Annihilation (Southern Reach, #1)",Jeff VanderMeer
46,"Redemption Ark (Revelation Space, #2)",Alastair Reynolds
47,"The Quantum Thief (Jean le Flambeur, #1)",Hannu Rajaniemi
48,"The Year of the Flood (MaddAddam, #2)",Margaret Atwood
49,"The Last Colony (Old Man's War, #3)",John Scalzi
50,Accelerando,Charles Stross
51,The Algebraist,Iain M. Banks
52,1Q84 (1Q84 #1-3),Haruki Murakami
53,Pushing Ice,Alastair Reynolds
54,"Broken Angels (Takeshi Kovacs, #2)",Richard K. Morgan
55,Surface Detail (Culture #9),Iain M. Banks
56,Dark Matter,Blake Crouch
57,The Yiddish Policemen's Union,Michael Chabon
58,"Woken Furies (Takeshi Kovacs, #3)",Richard K. Morgan
59,"Blackout (All Clear, #1)",Connie Willis
60,Fuzzy Nation (Fuzzy Sapiens #7),John Scalzi
61,"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey
62,"Robopocalypse (Robopocalypse, #1)",Daniel H. Wilson
63,"Freedom™ (Daemon, #2)",Daniel Suarez
64,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky Chambers
65,"The Scar (New Crobuzon, #2)",China Miéville
66,Under the Dome,Stephen King
67,"Abaddon's Gate (The Expanse, #3)",James S.A. Corey
68,"Look to Windward (Culture, #7)",Iain M. Banks
69,Rainbows End,Vernor Vinge
70,"Dust (Silo, #3)",Hugh Howey
71,"The Prefect (Prefect Dreyfus Emergency, #1)",Alastair Reynolds
72,The Dreaming Void,Peter F. Hamilton
73,"The Confusion (The Baroque Cycle, #2)",Neal Stephenson
74,"14 (Threshold, #1)",Peter Clines
75,"Shadow of the Hegemon (The Shadow Series, #2)",Orson Scott Card
76,"The System of the World (The Baroque Cycle, #3)",Neal Stephenson
77,"Olympos (Ilium, #2)",Dan Simmons
78,"All Clear (All Clear, #2)",Connie Willis
79,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin
80,Thirteen,Richard K. Morgan
81,The Years of Rice and Salt,Kim Stanley Robinson
82,"Shift (Shift, #1-3; Silo, #2)",Hugh Howey
83,"Nexus (Nexus, #1)",Ramez Naam
84,"The Long Earth (The Long Earth, #1)",Terry Pratchett
85,"Absolution Gap (Revelation Space, #3)",Alastair Reynolds
86,"Gridlinked (Agent Cormac #1, Polity Universe #3)",Neal Asher
87,"Singularity Sky (Eschaton, #1)",Charles Stross
88,"The Atrocity Archives (Laundry Files, #1)",Charles Stross
89,The Speed of Dark,Elizabeth Moon
90,"Diplomatic Immunity (Vorkosigan Saga, #13)",Lois McMaster Bujold
91,The Temporal Void,Peter F. Hamilton
92,"Boneshaker (The Clockwork Century, #1)",Cherie Priest
93,"Hominids (Neanderthal Parallax, #1)",Robert J. Sawyer
94,The Android's Dream (The Android's Dream #1),John Scalzi
95,2312,Kim Stanley Robinson
96,"Lock In (Lock In, #1)",John Scalzi
97,"Ancillary Sword (Imperial Radch, #2)",Ann Leckie
98,"The Skinner (Spatterjay, #1)",Neal Asher
99,The Gone-Away World,Nick Harkaway
100,Calculating God,Robert J. Sawyer
101,"Spook Country (Blue Ant, #2)",William Gibson
102,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky
103,"The Maze Runner (The Maze Runner, #1)",James Dashner
104,"River of Gods (India 2047, #1)",Ian McDonald
105,"Morning Star (Red Rising Saga, #3)",Pierce Brown
106,"Dies the Fire (Emberverse, #1)",S.M. Stirling
107,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin
108,Glasshouse,Charles Stross
109,"CryoBurn (Vorkosigan Saga, #14)",Lois McMaster Bujold
110,Terminal World,Alastair Reynolds
111,The Hydrogen Sonata (Culture #10),Iain M. Banks
112,The First Fifteen Lives of Harry August,Claire North
113,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor
114,"The Past (VanWest, #1)",Kenneth   Thomas
115,"The 5th Wave (The 5th Wave, #1)",Rick Yancey
116,"Dauntless (The Lost Fleet, #1)",Jack Campbell
117,"WWW: Wake (WWW, #1)",Robert J. Sawyer
118,"Leviathan (Leviathan, #1)",Scott Westerfeld
119,Passage,Connie Willis
120,The Outlands,Tyler Edwards
121,"Feed (Newsflesh Trilogy, #1)",Mira Grant
122,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells
123,"Cibola Burn (The Expanse, #4)",James S.A. Corey
124,Camouflage,Joe Haldeman
125,Fallen Dragon,Peter F. Hamilton
126,The Dog Stars,Peter Heller
127,"The Twelve (The Passage, #2)",Justin Cronin
128,"Ancillary Mercy (Imperial Radch, #3)",Ann Leckie
129,"Steelheart (The Reckoners, #1)",Brandon Sanderson
130,"MaddAddam (MaddAddam, #3)",Margaret Atwood
131,"Chindi (The Academy, #3)",Jack McDevitt
132,Death's End (Remembrance of Earth’s Past #3),Liu Cixin
133,Armada,Ernest Cline
134,Market Forces,Richard K. Morgan
135,"Zoe's Tale (Old Man's War, #4)",John Scalzi
136,"The Telling (Hainish Cycle, #8)",Ursula K. Le Guin
137,Deepsix (The Academy #2),Jack McDevitt
138,"Shades of Grey (Shades of Grey, #1)",Jasper Fforde
139,The Evolutionary Void,Peter F. Hamilton
140,"Captain Vorpatril's Alliance (Vorkosigan Saga, #15)",Lois McMaster Bujold
141,The Chronoliths,Robert Charles Wilson
142,"Blue Remembered Earth (Poseidon's Children, #1)",Alastair Reynolds
143,"Illuminae (The Illuminae Files, #1)",Amie Kaufman
144,Great North Road,Peter F. Hamilton
145,"Saga, Vol. 1",Brian K. Vaughan
146,"Insurgent (Divergent, #2)",Veronica Roth
147,"Uglies (Uglies, #1)",Scott Westerfeld
148,Agent to the Stars,John Scalzi
149,"Metro 2033 (Metro, #1)",Dmitry Glukhovsky
150,"The Present (VanWest, #2)",Kenneth   Thomas
151,"Iron Sunrise (Eschaton, #2)",Charles Stross
152,"Unwind (Unwind, #1)",Neal Shusterman
153,Evolution,Stephen Baxter
154,Stories of Your Life and Others,Ted Chiang
155,"Brass Man (Agent Cormac, #3)",Neal Asher
156,"Omega (The Academy, #4)",Jack McDevitt
157,"The Line Of Polity (Agent Cormac, #2)",Neal Asher
158,The Dervish House,Ian McDonald
159,"Sleeping Giants (Themis Files, #1)",Sylvain Neuvel
160,"Off Armageddon Reef (Safehold, #1)",David Weber
161,Brasyl,Ian McDonald
162,"WWW: Wonder (WWW, #3)",Robert J. Sawyer
163,"Authority (Southern Reach, #2)",Jeff VanderMeer
164,How to Live Safely in a Science Fictional Universe,Charles Yu
165,"Ship Breaker (Ship Breaker, #1)",Paolo Bacigalupi
166,"Nemesis Games (The Expanse, #5)",James S.A. Corey
167,"The Human Division (Old Man's War, #5)",John Scalzi
168,"The Fold (Threshold, #2)",Peter Clines
169,"Trading in Danger (Vatta's War, #1)",Elizabeth Moon
170,Lexicon,Max Barry
171,"Polaris (Alex Benedict, #2)",Jack McDevitt
172,Feed,M.T. Anderson
173,"The Rook (The Checquy Files, #1)",Daniel O'Malley
174,Blind Lake,Robert Charles Wilson
175,Down and Out in the Magic Kingdom,Cory Doctorow
176,The Plot Against America,Philip Roth
177,Darwin's Children (Darwin's Radio #2),Greg Bear
178,"A Closed and Common Orbit (Wayfarers, #2)",Becky Chambers
179,"Legend (Legend, #1)",Marie Lu
180,"Judas Unchained (Commonwealth Saga, #2)",Peter F. Hamilton
181,"The Fractal Prince (Jean le Flambeur, #2)",Hannu Rajaniemi
182,"The Reality Dysfunction (Night's Dawn, #1)",Peter F. Hamilton
183,The Light of Other Days,Arthur C. Clarke
184,The Circle,Dave Eggers
185,Seeker (Alex Benedict #3),Jack McDevitt
186,Prey,Michael Crichton
187,"Coyote (Coyote Trilogy, #1)",Allen M. Steele
188,"Hybrids (Neanderthal Parallax, #3)",Robert J. Sawyer
189,Rollback,Robert J. Sawyer
190,"Halting State (Halting State, #1)",Charles Stross
191,The Water Knife,Paolo Bacigalupi
192,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore
193,"The City of Ember (Book of Ember, #1)",Jeanne DuPrau
194,The Accidental Time Machine,Joe Haldeman
195,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan
196,Saturn's Children (Freyaverse #1),Charles Stross
197,"Shadow Puppets (The Shadow Series, #3)",Orson Scott Card
198,For the Win,Cory Doctorow
199,The Humans,Matt Haig
200,"Pines (Wayward Pines, #1)",Blake Crouch
201,Kill Decision,Daniel Suarez
202,Aurora,Kim Stanley Robinson
203,"Live Free or Die (Troy Rising, #1)",John Ringo
204,The Peripheral (The Peripheral #1),William Gibson
205,"War of Honor (Honor Harrington, #10)",David Weber
206,Julian Comstock: A Story of 22nd-Century America,Robert Charles Wilson
207,The Age of Miracles,Karen Thompson Walker
208,"The Collapsing Empire (The Interdependency, #1)",John Scalzi
209,"Farthing (Small Change, #1)",Jo Walton
210,Railsea,China Miéville
211,Existence,David Brin
212,"Crux (Nexus, #2)",Ramez Naam
213,"Sand Omnibus (Sand, #1-5)",Hugh Howey
214,The Unincorporated Man  (Unincorporated Man #1),Dani Kollin
215,"Axis (Spin, #2)",Robert Charles Wilson
216,"Polity Agent (Agent Cormac, #4)",Neal Asher
217,"Flood (Flood, #1)",Stephen Baxter
218,Hull Zero Three,Greg Bear
219,"The Risen Empire (Succession, #1)",Scott Westerfeld
220,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer
221,Air,Geoff Ryman
222,Fortune's Pawn (Paradox #1),Rachel Bach
223,"Allegiant (Divergent, #3)",Veronica Roth
224,"Pretties (Uglies, #2)",Scott Westerfeld
225,"Humans (Neanderthal Parallax, #2)",Robert J. Sawyer
226,"WWW: Watch (WWW, #2)",Robert J. Sawyer
227,Son,Lois Lowry
228,Influx,Daniel Suarez
229,"Odyssey (The Academy, #5)",Jack McDevitt
230,"Too Like the Lightning (Terra Ignota, #1)",Ada Palmer
231,"Binti (Binti, #1)",Nnedi Okorafor
232,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin
233,All You Need Is Kill,Hiroshi Sakurazaka
234,"Fearless (The Lost Fleet, #2)",Jack Campbell
235,"At All Costs (Honor Harrington, #11)",David Weber
236,"The Last Policeman (The Last Policeman, #1)",Ben H. Winters
237,"Extras (Uglies, #4)",Scott Westerfeld
238,"Sun of Suns (Virga, #1)",Karl Schroeder
239,Amped,Daniel H. Wilson
240,"Brilliance (Brilliance Saga, #1)",Marcus Sakey
241,The Book of Strange New Things,Michel Faber
242,Year Zero,Rob  Reid
243,"Mission of Honor (Honor Harrington, #12)",David Weber
244,"Welcome to Night Vale (Welcome to Night Vale, #1)",Joseph Fink
245,"Valor's Choice (Confederation, #1)",Tanya Huff
246,"God's War (Bel Dame Apocrypha, #1)",Kameron Hurley
247,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin
248,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams
249,"The Rithmatist (The Rithmatist, #1)",Brandon Sanderson
250,When You Reach Me,Rebecca Stead
251,"The Calculating Stars (Lady Astronaut, #1)",Mary Robinette Kowal
252,"Time's Eye (A Time Odyssey, #1)",Arthur C. Clarke
253,"Acceptance (Southern Reach, #3)",Jeff VanderMeer
254,The Peshawar Lancers,S.M. Stirling
255,Conquistador,S.M. Stirling
256,Artemis,Andy Weir
257,"Champion (Legend, #3)",Marie Lu
258,Recursion,Blake Crouch
259,Time Travelers Never Die,Jack McDevitt
260,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells
261,Bad Monkeys,Matt Ruff
262,"Off to Be the Wizard (Magic 2.0, #1)",Scott  Meyer
263,"Matched (Matched, #1)",Ally Condie
264,The Automatic Detective,A. Lee Martinez
265,Forty Signs of Rain (Science in the Capital #1),Kim Stanley Robinson
266,"Retribution Falls (Tales of the Ketty Jay, #1)",Chris Wooding
267,"Ninefox Gambit (The Machineries of Empire, #1)",Yoon Ha Lee
268,Eastern Standard Tribe,Cory Doctorow
269,Eifelheim,Michael Flynn
270,"Ark (Flood, #2)",Stephen Baxter
271,"Cosmonaut Keep (Engines Of Light, #1)",Ken MacLeod
272,"Shadow of the Giant (Ender's Shadow, #4)",Orson Scott Card
273,Zoo City,Lauren Beukes
274,"Marque and Reprisal (Vatta's War, #2)",Elizabeth Moon
275,Provenance,Ann Leckie
276,"Specials (Uglies, #3)",Scott Westerfeld
277,"Grimspace (Sirantha Jax, #1)",Ann Aguirre
278,"Mortal Engines (The Hungry City Chronicles, #1)",Philip Reeve
279,"Light (Kefahuchi Tract, #1)",M. John Harrison
280,"On the Steel Breeze (Poseidon's Children, #2)",Alastair Reynolds
281,Messenger,Lois Lowry
282,"Mendoza in Hollywood (The Company, #3)",Kage Baker
283,"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer
284,Zone One,Colson Whitehead
285,Schild's Ladder,Greg Egan
286,"Manifold: Space (Manifold, #2)",Stephen Baxter
287,"Partials (Partials Sequence, #1)",Dan Wells
288,"The Angel Experiment (Maximum Ride, #1)",James Patterson
289,"Vortex (Spin, #3)",Robert Charles Wilson
290,The Abyss Beyond Dreams,Peter F. Hamilton
291,"On the Oceans of Eternity (Nantucket, #3)",S.M. Stirling
292,"Engaging the Enemy (Vatta's War, #3)",Elizabeth Moon
293,"Infected (Infected, #1)",Scott Sigler
294,"The Atlantis Gene (The Origin Mystery, #1)",A.G. Riddle
295,"The Selection (The Selection, #1)",Kiera Cass
296,"Echopraxia (Firefall, #2)",Peter Watts
297,"Delirium (Delirium, #1)",Lauren Oliver
298,The Power,Naomi Alderman
299,Song of Scarabaeus (Scarabaeus #1),Sara Creasy
300,The Lifecycle of Software Objects,Ted Chiang
301,"Fifty Degrees Below (Science in the Capital, #2)",Kim Stanley Robinson
302,"Victory Conditions (Vatta's War, #5)",Elizabeth Moon
303,A Confusion of Princes,Garth Nix
304,"Into the Storm (Destroyermen, #1)",Taylor Anderson
305,"March Upcountry (Empire of Man, #1)",David Weber
306,Terms of Enlistment (Frontlines #1),Marko Kloos
307,"Firefight (The Reckoners, #2)",Brandon Sanderson
308,"Prodigy (Legend, #2)",Marie Lu
309,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness
310,"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells
311,"Hidden Empire (The Saga of Seven Suns, #1)",Kevin J. Anderson
312,"Command Decision (Vatta's War, #4)",Elizabeth Moon
313,"Goliath (Leviathan, #3)",Scott Westerfeld
314,The Swarm,Frank Schätzing
315,"Breakthroughs (The Great War, #3)",Harry Turtledove
316,Eisenhorn (Eisenhorn #1-3),Dan Abnett
317,"The Old Man and the Wasteland (The Wasteland Saga, #1)",Nick Cole
318,"Dark Eden (Dark Eden, #1)",Chris Beckett
319,"Winter (The Lunar Chronicles, #4)",Marissa Meyer
320,"The Lives of Tao (Tao, #1)",Wesley Chu
321,"The Protector's War (Emberverse, #2)",S.M. Stirling
322,"By Schism Rent Asunder (Safehold, #2)",David Weber
323,"Life As We Knew It (Last Survivors, #1)",Susan Beth Pfeffer
324,"The Traveler (Fourth Realm, #1)",John Twelve Hawks
325,"Babylon's Ashes (The Expanse, #6)",James S.A. Corey
326,"A Meeting at Corvallis (Emberverse, #3)",S.M. Stirling
327,"The Shepherd's Tale (Serenity, #3)",Joss Whedon
328,"An Absolutely Remarkable Thing (The Carls, #1)",Hank Green
329,"The Devil's Eye (Alex Benedict, #4)",Jack McDevitt
330,This is Not a Game (Dagmar Shaw #1),Walter Jon Williams
331,The Golden Age (Golden Age #1),John C. Wright
332,"The Center Cannot Hold (American Empire, #2)",Harry Turtledove
333,"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells
334,"Deadline (Newsflesh Trilogy, #2)",Mira Grant
335,"Just One Damned Thing After Another (The Chronicles of St Mary's, #1)",Jodi Taylor
336,"Gemina (The Illuminae Files, #2)",Amie Kaufman
337,"Network Effect (The Murderbot Diaries, #5)",Martha Wells
338,When She Woke,Hillary Jordan
339,"Dreadnought (The Clockwork Century, #2)",Cherie Priest
340,The Paper Menagerie and Other Stories,Ken Liu
341,"Into the Looking Glass (Looking Glass, #1)",John Ringo
342,CyberStorm (CyberStorm #1),Matthew Mather
343,"Reflex (Jumper, #2)",Steven Gould
344,"The Drowned Cities (Ship Breaker, #2)",Paolo Bacigalupi
345,"Under the Never Sky (Under the Never Sky, #1)",Veronica Rossi
346,The Rise and Fall of D.O.D.O. (D.O.D.O. #1),Neal Stephenson
347,"Revenger (Revenger, #1)",Alastair Reynolds
348,"Apex (Nexus, #3)",Ramez Naam
349,"Rule 34 (Halting State, #2)",Charles Stross
350,"Homeland (Little Brother, #2)",Cory Doctorow
351,Manifold: Origin,Stephen Baxter
352,"Return Engagement (Settling Accounts, #1)",Harry Turtledove
353,"The End of All Things (Old Man's War, #6)",John Scalzi
354,More Than This,Patrick Ness
355,"Blackout (Newsflesh Trilogy, #3)",Mira Grant
356,"Planetfall (Planetfall, #1)",Emma Newman
357,Galactic North,Alastair Reynolds
358,All the Birds in the Sky,Charlie Jane Anders
359,Mindscan,Robert J. Sawyer
360,The Gone World,Tom Sweterlitsch
361,"A Forest of Stars (The Saga of Seven Suns, #2)",Kevin J. Anderson
362,"To Honor You Call Us (Man of War, #1)",H. Paul Honsinger
363,New Moon (Luna #1),Ian McDonald
364,"Thunderhead (Arc of a Scythe, #2)",Neal Shusterman
365,Moxyland,Lauren Beukes
366,How I Live Now,Meg Rosoff
367,"Sunstorm (A Time Odyssey, #2)",Arthur C. Clarke
368,"Head On (Lock In, #2)",John Scalzi
369,"Torch of Freedom (Honorverse: Wages of Sin, #2)",David Weber
370,"Invincible (The Lost Fleet: Beyond the Frontier, #2)",Jack Campbell
371,"The Testing (The Testing, #1)",Joelle Charbonneau
372,"Robogenesis (Robopocalypse, #2)",Daniel H. Wilson
373,"Bitter Seeds (The Milkweed Triptych, #1)",Ian Tregillis
374,"Red Thunder (Thunder and Lightning, #1)",John Varley
375,"Countdown City (The Last Policeman, #2)",Ben H. Winters
376,"Record of a Spaceborn Few (Wayfarers, #3)",Becky Chambers
377,The Dispatcher,John Scalzi
378,"To Be Taught, If Fortunate",Becky Chambers
379,"Mutineer (Kris Longknife, #1)",Mike Shepherd
380,"The Family Trade (The Merchant Princes, #1)",Charles Stross
381,Hollow World,Michael J. Sullivan
382,Century Rain,Alastair Reynolds
383,"Valor's Trial (Confederation, #4)",Tanya Huff
384,Version Control,Dexter Palmer
385,"Spinward Fringe Broadcast 0: Origins (First Light Chronicles, #1-3; Spinward Fringe, #0)",Randolph Lalonde
386,"Zero History (Blue Ant, #3)",William Gibson
387,"The Heart of Valor (Confederation, #3)",Tanya Huff
388,"Who Fears Death (Who Fears Death, #1)",Nnedi Okorafor
389,Flight,Sherman Alexie
390,Learning the World: A Scientific Romance,Ken MacLeod
391,The Subtle Knife,Philip Pullman
392,"The Seeds of Earth (Humanity's Fire, #1)",Michael Cobley
393,Gnomon,Nick Harkaway
394,Remnant Population,Elizabeth Moon
395,"The Flight of the Silvers (Silvers, #1)",Daniel Price
396,Freehold  (Freehold #1),Michael Z. Williamson
397,"UnWholly (Unwind, #2)",Neal Shusterman
398,"Confederation (In Her Name: Redemption, #2)",Michael R. Hicks
399,"Empire (In Her Name: Redemption, #1)",Michael R. Hicks
400,"I Dare (Liaden Universe, #13)",Sharon Lee
401,Alif the Unseen,G. Willow Wilson
402,"Scythe (Arc of a Scythe, #1)",Neal Shusterman
403,"Wanderlust (Sirantha Jax, #2)",Ann Aguirre
404,A Memory Called Empire (Teixcalaan #1),Arkady Martine
405,"First Contact (In Her Name: The Last War, #1)",Michael R. Hicks
406,"Behemoth (Leviathan, #2)",Scott Westerfeld
407,Behind the Throne (The Indranan War #1),K.B. Wagers
408,Halo: Ghosts of Onyx,Eric S. Nylund
409,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs
410,The Underground Railroad,Colson Whitehead
411,The Heart Goes Last,Margaret Atwood
412,Circe,Madeline Miller
413,"Tarnished Knight (The Lost Stars, #1)",Jack Campbell
414,The Scorpio Races,Maggie Stiefvater
415,"The Scorch Trials (The Maze Runner, #2)",James Dashner
416,"American Gods (American Gods, #1)",Neil Gaiman
417,The Graveyard Book,Neil Gaiman
418,"Crown of Slaves (Honorverse: Wages of Sin, #1)",David Weber
419,"The Death Cure (Maze Runner, #3)",James Dashner
420,"Doubleblind (Sirantha Jax, #3)",Ann Aguirre
421,"First Shift: Legacy (Shift, #1)",Hugh Howey
422,"Semiosis (Semiosis Duology, #1)",Sue Burke
423,"The Quantum Magician (The Quantum Evolution, #1)",Derek Künsken
424,"The Infinite Sea (The 5th Wave, #2)",Rick Yancey
425,The Stone Gods,Jeanette Winterson
426,Love Minus Eighty,Will McIntosh
427,"Karen Memory (Karen Memory, #1)",Elizabeth Bear
428,"Quarter Share (Golden Age of the Solar Clipper, #1)",Nathan Lowell
429,"The Amber Project (The Variant Saga, #1)",J.N. Chaney
430,2240 Return to Planet Earth,Daniela R. Morassutti
431,"Half Share (Golden Age of the Solar Clipper, #2)",Nathan Lowell
432,"City of Pearl (Wess'har Wars, #1)",Karen Traviss
433,"Axiom's End (Noumena, #1)",Lindsay  Ellis
434,"Gentleman Jole and the Red Queen (Vorkosigan Saga, #16)",Lois McMaster Bujold
435,"For Honor We Stand (Man of War, #2)",H. Paul Honsinger
436,"Pandemonium (Delirium, #2)",Lauren Oliver
437,The Alchemy of Stone,Ekaterina Sedia
438,Six Wakes,Mur Lafferty
439,"Firstborn (A Time Odyssey, #3)",Arthur C. Clarke
440,"Dragon and Thief (Dragonback, #1)",Timothy Zahn
