,title,author
441,"Obsidio (The Illuminae Files, #3)",Amie Kaufman
442,Blind Faith,Ben Elton
443,Sea of Rust,C. Robert Cargill
444,"Diamond Dogs, Turquoise Days",Alastair Reynolds
445,Pump Six and Other Stories,Paolo Bacigalupi
446,Flashback,Dan Simmons
447,"Infomocracy (The Centenal Cycle, #1)",Malka Ann Older
448,Timeline,Michael Crichton
449,"All These Worlds (Bobiverse, #3)",Dennis E. Taylor
450,The Ocean at the End of the Lane,Neil Gaiman
451,All Our Wrong Todays,Elan Mastai
452,"For We Are Many (Bobiverse, #2)",Dennis E. Taylor
453,Company Town,Madeline Ashby
454,"The Causal Angel (Jean le Flambeur, #3)",Hannu Rajaniemi
455,"Alex + Ada, Vol. 1",Jonathan Luna
456,"Children of Ruin (Children of Time, #2)",Adrian Tchaikovsky
457,"Parasite (Parasitology, #1)",Mira Grant
458,Digital Fortress,Dan Brown
459,"Killbox (Sirantha Jax, #4)",Ann Aguirre
460,"An Unwelcome Quest (Magic 2.0, #3)",Scott  Meyer
461,The Lost Colony (Artemis Fowl #5),Eoin Colfer
462,"Seven Surrenders (Terra Ignota, #2)",Ada Palmer
463,"Marsbound (Marsbound, #1)",Joe Haldeman
464,"Third Shift: Pact (Shift, #3)",Hugh Howey
465,"Persepolis Rising (The Expanse, #7)",James S.A. Corey
466,The Opal Deception (Artemis Fowl #4),Eoin Colfer
467,"The Waste Lands (The Dark Tower, #3)",Stephen King
468,Hyperion,Dan Simmons
469,"Adaptation (Adaptation, #1)",Malinda Lo
470,"Odyssey One (Odyssey One, #1)",Evan Currie
471,"Mort (Discworld, #4; Death, #1)",Terry Pratchett
472,"Spell or High Water (Magic 2.0, #2)",Scott  Meyer
473,"Swarm (Star Force, #1)",B.V. Larson
474,Space Opera,Catherynne M. Valente
475,"Fairest (The Lunar Chronicles, #3.5)",Marissa Meyer
476,"Relentless (The Lost Fleet, #5)",Jack Campbell
477,"Under a Graveyard Sky (Black Tide Rising, #1)",John Ringo
478,Walkaway,Cory Doctorow
479,"Fledgling (Theo Waitley, #1; Liaden Universe, #12)",Sharon Lee
480,The Girl in the Road,Monica Byrne
481,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken
482,"The Better Part of Valor (Confederation, #2)",Tanya Huff
483,"Skyward (Skyward, #1)",Brandon Sanderson
484,"The Shiva Option (Starfire, #4)",David Weber
485,"The Immortal Rules (Blood of Eden, #1)",Julie Kagawa
486,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare
487,"Hellhole (Hellhole, #1)",Brian Herbert
488,Memory of Water,Emmi Itäranta
489,"Gone (Gone, #1)",Michael  Grant
490,Whiskey Tango Foxtrot,David Shafer
491,Wired,Douglas E. Richards
492,Jonathan Strange & Mr Norrell,Susanna Clarke
493,"Crusade (Destroyermen, #2)",Taylor Anderson
494,In Ashes Born (A Seeker's Tale from the Golden Age of the Solar Clipper #1),Nathan Lowell
495,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",Laini Taylor
496,Halo: The Fall of Reach,Eric S. Nylund
497,"Crystal Soldier (The Great Migration Duology, #1; Liaden Universe, #1)",Sharon Lee
498,The Supernaturalist,Eoin Colfer
499,The Slynx,Tatyana Tolstaya
500,"Warchild (Warchild, #1)",Karin Lowachee
501,Saturn Run,John Sandford
502,The Unit,Ninni Holmqvist
503,Fleet of Worlds (Fleet of Worlds #1),Larry Niven
504,Jack Glass,Adam Roberts
505,City at the End of Time,Greg Bear
506,Jennifer Government,Max Barry
507,Under the Skin,Michel Faber
508,"Double Share (Golden Age of the Solar Clipper, #4)",Nathan Lowell
509,Delta-V,Daniel Suarez
510,"Andromeda's Fall (The Prequel Legion Series, #1)",William C. Dietz
511,"Full Share (Golden Age of the Solar Clipper, #3)",Nathan Lowell
512,"Columbus Day (Expeditionary Force, #1)",Craig Alanson
513,"Bowl of Heaven (Bowl of Heaven, #1)",Gregory Benford
514,"Stealing Light (The Shoal Sequence, #1)",Gary Gibson
515,"TFS Ingenuity (The Terran Fleet Command Saga, #1)",Tori L. Harris
516,"TFS Theseus (The Terran Fleet Command Saga, #2)",Tori L. Harris
517,"Wolf Moon (Luna, #2)",Ian McDonald
518,A Darkling Sea,James L. Cambias
519,Permutation City (Subjective Cosmology #2),Greg Egan
520,Sex Criminals #1: Suzie Down in the Quiet,Matt Fraction
521,Serenity,Keith R.A. DeCandido
522,This Census-Taker,China Miéville
523,"Renegades (Expeditionary Force, #7)",Craig Alanson
524,Crosstalk,Connie Willis
525,The Light Brigade,Kameron Hurley
526,"Area X: The Southern Reach Trilogy (Southern Reach, #1-3)",Jeff VanderMeer
527,Dark Orbit,Carolyn Ives Gilman
528,Doctor Who: Nuclear Time,Oli Smith
529,"Black Ops (Expeditionary Force, #4)",Craig Alanson
530,The City in the Middle of the Night,Charlie Jane Anders
531,"The Breach (Travis Chase, #1)",Patrick  Lee
532,"Honor Among Thieves (The Honors, #1)",Rachel Caine
533,"Across the Universe (Across the Universe, #1)",Beth Revis
534,"Steel World (Undying Mercenaries, #1)",B.V. Larson
535,"Paradise (Expeditionary Force, #3)",Craig Alanson
536,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir
537,Yellow Blue Tibia,Adam Roberts
538,Autonomous,Annalee Newitz
539,"Among the Hidden (Shadow Children, #1)",Margaret Peterson Haddix
540,The Loneliest Girl in the Universe,Lauren   James
541,"Wizard Scout (Intergalactic Wizard Scout Chronicles, #3)",Rodney W. Hartman
542,"Insignia (Insignia, #1)",S.J. Kincaid
543,"Citadel (Troy Rising, #2)",John Ringo
544,"Lamentation (Psalms of Isaak, #1)",Ken Scholes
545,Radiance,Catherynne M. Valente
546,"SpecOps (Expeditionary Force, #2)",Craig Alanson
547,"Aspho Fields (Gears of War, #1)",Karen Traviss
548,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde
549,"Numbers (Numbers, #1)",Rachel Ward
550,The Rapture of the Nerds,Cory Doctorow
551,"The Hot Gate (Troy Rising, #3)",John Ringo
552,"A Night Without Stars (Commonwealth Universe, #7)",Peter F. Hamilton
553,"Kildar (Paladin of Shadows, #2)",John Ringo
554,"Shovel Ready (Spademan, #1)",Adam Sternbergh
555,"Vicious (Villains, #1)",V.E. Schwab
556,Catalyst (Tales of the Barque Cats #1),Anne McCaffrey
557,The Registry,Shannon Stoker
558,Contest,Matthew Reilly
559,California,Edan Lepucki
560,"Shatter Me (Shatter Me, #1)",Tahereh Mafi
561,Dogs of War (Dogs of War #1),Adrian Tchaikovsky
562,The Summer of Impossible Things,Rowan Coleman
563,"The Killing of Worlds (Succession, #2)",Scott Westerfeld
564,"Soulless (Parasol Protectorate, #1)",Gail Carriger
565,"A Soldier's Duty (Theirs Not to Reason Why, #1)",Jean Johnson
566,0.4,Mike A. Lancaster
567,"The Will to Battle (Terra Ignota, #3)",Ada Palmer
568,"Daring (Kris Longknife, #9)",Mike Shepherd
569,"vN (The Machine Dynasty, #1)",Madeline Ashby
570,"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier
571,"Timebound (The Chronos Files, #1)",Rysa Walker
572,"An Officer's Duty (Theirs Not to Reason Why, #2)",Jean Johnson
573,The Mount,Carol Emshwiller
574,Soft Apocalypse,Will McIntosh
575,"Second Shift: Order (Shift, #2)",Hugh Howey
576,"Symbiont (Parasitology, #2)",Mira Grant
577,"Inside Out (Insider, #1)",Maria V. Snyder
578,2030: The Real Story of What Happens to America,Albert Brooks
579,"War Dogs (War Dogs, #1)",Greg Bear
580,Arkwright,Allen M. Steele
581,Central Station,Lavie Tidhar
582,"A Rising Thunder (Honor Harrington, #13)",David Weber
583,"Carve the Mark (Carve the Mark, #1)",Veronica Roth
584,"Red Sister (Book of the Ancestor, #1)",Mark  Lawrence
585,"Contagion (Contagion, #1)",Erin Bowman
586,The Wanderers,Meg Howrey
587,"Tiamat's Wrath (The Expanse, #8)",James S.A. Corey
588,"Mass Effect: Retribution (Mass Effect, #3)",Drew Karpyshyn
589,Deception Point,Dan Brown
590,"Zodiac (Zodiac, #1)",Romina Russell
591,The Freeze-Frame Revolution,Peter Watts
592,"Carry On (Simon Snow, #1)",Rainbow Rowell
593,"InterWorld (InterWorld, #1)",Neil Gaiman
594,"Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence
595,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia
596,"Warcross (Warcross, #1)",Marie Lu
597,The Separation,Christopher Priest
598,Yesterday's Gone: Season One,Sean Platt
599,"Hellfire (Theirs Not to Reason Why, #3)",Jean Johnson
600,The Last Hour of Gann,R. Lee Smith
601,"Probability Moon (Probability, #1)",Nancy Kress
602,"Furious (Kris Longknife, #10)",Mike Shepherd
603,"Wandering Star (Zodiac, #2)",Romina Russell
604,Kiln People,David Brin
605,Behemoth: β-Max (Rifters #3.1),Peter Watts
606,"Starters (Starters, #1)",Lissa Price
607,"Crystal Rain (Xenowealth, #1)",Tobias S. Buckell
608,A Working Theory of Love,Scott Hutchins
609,"After the Fall, Before the Fall, During the Fall",Nancy Kress
610,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer
611,"This World We Live In (Last Survivors, #3)",Susan Beth Pfeffer
612,"Time Salvager (Time Salvager, #1)",Wesley Chu
613,The God Engines,John Scalzi
614,"Furies of Calderon (Codex Alera, #1)",Jim Butcher
615,"The Fates Divide (Carve the Mark, #2)",Veronica Roth
616,"First Lord's Fury (Codex Alera, #6)",Jim Butcher
617,"Embers of War (Embers of War, #1)",Gareth L. Powell
618,"A Wind in the Door (Time Quintet, #2)",Madeleine L'Engle
619,"Starhawk (The Academy, #7)",Jack McDevitt
620,Change Agent,Daniel Suarez
621,New York 2140,Kim Stanley Robinson
622,"Princeps' Fury (Codex Alera, #5)",Jim Butcher
623,"The Last Star (The 5th Wave, #3)",Rick Yancey
624,A Matter of Days,Amber Kizer
625,"Marked (House of Night, #1)",P.C. Cast
626,"Death Masks (The Dresden Files, #5)",Jim Butcher
627,"Fire (Graceling Realm, #2)",Kristin Cashore
628,Night of the Living Trekkies,Kevin David Anderson
629,"Warrior King (Odyssey One, #5)",Evan Currie
630,"The Pillars of Creation (Sword of Truth, #7)",Terry Goodkind
631,"Impulse (Jumper, #3)",Steven Gould
632,"Empire Games (Empire Games #1, Merchant Princes Universe #7)",Charles Stross
633,Avogadro Corp (Singularity #1),William Hertling
634,How to Stop Time,Matt Haig
635,The Frozen Sky (Frozen Sky #1),Jeff  Carlson
636,يوتوبيا,أحمد خالد توفيق
637,Brave New Worlds,John Joseph Adams
638,"The Last Emperox (The Interdependency, #3)",John Scalzi
639,"Chains of Command (Frontlines, #4)",Marko Kloos
640,The Bone Clocks,David Mitchell
641,"Ruins (Pathfinder, #2)",Orson Scott Card
642,"Neptune's Brood (Freyaverse, #2)",Charles Stross
643,"The House of Shattered Wings (Dominion of the Fallen, #1)",Aliette de Bodard
644,"A Call to Arms (Honorverse: Manticore Ascendant, #2)",David Weber
645,"The Electric Church (Avery Cates, #1)",Jeff Somers
646,"A Call to Duty (Honorverse: Manticore Ascendant, #1)",David Weber
647,"Hardship (Theirs Not to Reason Why, #4)",Jean Johnson
648,"The Red: First Light (The Red, #1)",Linda Nagata
649,"Captain's Share (Golden Age of the Solar Clipper, #5)",Nathan Lowell
650,A.I. Apocalypse (Singularity #2),William Hertling
651,Cauldron (The Academy #6),Jack McDevitt
652,Red Moon,Kim Stanley Robinson
653,The Revisionists,Thomas Mullen
654,Gold Fame Citrus,Claire Vaye Watkins
655,Hunter's Run,George R.R. Martin
656,"Zeroes (Zeroes, #1)",Scott Westerfeld
657,The Last Firewall (Singularity #3),William Hertling
658,"Maelstrom (Rifters, #2)",Peter Watts
659,Old Twentieth,Joe Haldeman
660,Containment (Children of Occam #1),Christian Cantrell
661,Lagoon,Nnedi Okorafor
662,"Dark Light (Engines Of Light, #2)",Ken MacLeod
663,"Driven (Northern Waste, #1)",Eve Kenin
664,"The Consuming Fire (The Interdependency, #2)",John Scalzi
665,"Linesman (Linesman, #1)",S.K. Dunstall
666,"Pathfinder (Pathfinder, #1)",Orson Scott Card
667,"Battle Royale, Vol. 10 (Battle Royale, #10)",Koushun Takami
668,The Salt Line,Holly Goddard Jones
669,As She Climbed Across the Table,Jonathan Lethem
670,Starshine (Aurora Rising #1),G.S. Jennsen
671,"Arabella of Mars (Adventures of Arabella Ashby, #1)",David D. Levine
672,"Winter World (The Long Winter, #1)",A.G. Riddle
673,False Gods (Horus Heresy #2),Graham McNeill
674,"The Mechanical (The Alchemy Wars, #1)",Ian Tregillis
675,"LIFEL1K3 (Lifelike, #1)",Jay Kristoff
676,"Crossover (Cassandra Kresnov, #1)",Joel Shepherd
677,"Silver Master (Harmony, #4)",Jayne Castle
678,Retrograde,Peter Cawdron
679,Goodbye for Now,Laurie Frankel
680,"Ark Royal (Ark Royal, #1)",Christopher G. Nuttall
681,"Ha'penny (Small Change, #2)",Jo Walton
682,"The Atlantis World (The Origin Mystery, #3)",A.G. Riddle
683,"The Heart of Matter (Odyssey One, #2)",Evan Currie
684,World Made by Hand (World Made by Hand #1),James Howard Kunstler
685,Departure,A.G. Riddle
686,"Battle Royale, Vol. 09 (Battle Royale, #9)",Koushun Takami
687,The Awakening: Fate in Motion,Suzanne Boisvert
688,"Vertigo (Aurora Rising, #2)",G.S. Jennsen
689,A Gift of Time,Jerry Merritt
690,Galaxy in Flames (The Horus Heresy #3),Ben Counter
691,Fledgling,Octavia E. Butler
692,"Renegade Star (Renegade Star, #1)",J.N. Chaney
693,"The 100 (The 100, #1)",Kass Morgan
694,Outbreak (The Dark Days Series Book 1),Christopher   Cole
695,Reentry,Peter Cawdron
696,"Beacon 23 (Beacon 23, #1-5)",Hugh Howey
697,"Worm (Parahumans, #1)",Wildbow
698,Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman
699,Horus Rising (Horus Heresy #1),Dan Abnett
700,An Unkindness of Ghosts,Rivers Solomon
701,Inside Divergent: The Initiate's World,Veronica Roth
702,Radiance,Carter Scholz
703,"The Golden Transcendence (Golden Age, #3)",John C. Wright
704,"Homeworld (Odyssey One, #3)",Evan Currie
705,"Violet Eyes (Violet Eyes, #1)",Nicole Luiken
706,"Battle Royale, Vol. 15 (Battle Royale, #15)",Koushun Takami
707,"Iron Gold (Red Rising, #4)",Pierce Brown
708,"Zero Hour (Expeditionary Force, #5)",Craig Alanson
709,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett
710,"The Diviners (The Diviners, #1)",Libba Bray
711,"Last Day on Mars (Chronicle of the Dark Star, #1)",Kevin Emerson
712,Field One (Volume 1),Simon Winstanley
713,The Third Twin,Ken Follett
714,Divergent Official Illustrated Movie Companion,Kate Egan
715,Followers,Megan Angelo
716,Changing Planes,Ursula K. Le Guin
717,"The Clone Republic (Rogue Clone, #1)",Steven L. Kent
718,"Defiant (Kris Longknife, #3)",Mike Shepherd
719,"Half a Crown (Small Change, #3)",Jo Walton
720,"Out of the Black (Odyssey One, #4)",Evan Currie
721,¿Estarás ahí?,Guillaume Musso
722,"The Aeronaut's Windlass (The Cinder Spires, #1)",Jim Butcher
723,"Battle Royale, Vol. 01 (Battle Royale, #1)",Koushun Takami
724,Darlah - 172 timer på månen,Johan Harstad
725,Dark Age (Red Rising Saga #5),Pierce Brown
726,Moon Rising (Luna #3),Ian McDonald
727,Allegiant: The Ultimate Interactive Quiz Book,Sarah Davids
728,"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood
729,"The Phoenix Exultant (Golden Age, #2)",John C. Wright
730,"Mind Fuck (The Administration, #1)",Manna Francis
731,Silently and Very Fast,Catherynne M. Valente
732,"La Belle Sauvage (The Book of Dust, #1)",Philip Pullman
733,"Blood Song (Raven's Shadow, #1)",Anthony Ryan
734,Zero K,Don DeLillo
735,This Other Eden,Ben Elton
736,"Eternity's Wheel (InterWorld, #3)",Neil Gaiman
737,"The Search for WondLa (The Search for WondLa, #1)",Tony DiTerlizzi
738,The Prey of Gods,Nicky Drayden
739,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",Douglas Adams
740,"The Silver Dream (Interworld, #2)",Neil Gaiman
741,"Strange Dogs (The Expanse, #6.5)",James S.A. Corey
742,Doctor Who - The Wheel of Ice,Stephen Baxter
743,The Medusa Chronicles,Stephen Baxter
744,"Polaris Rising (Consortium Rebellion, #1)",Jessie Mihalik
745,"DarkShip Thieves (Darkship, #1)",Sarah A. Hoyt
746,"Pyramids (Discworld, #7)",Terry Pratchett
747,"The Neptune Project (The Neptune Project, #1)",Polly Holyoke
748,"The Murders of Molly Southbourne (Molly Southbourne, #1)",Tade Thompson
749,"The Trade of Queens (The Merchant Princes, #6)",Charles Stross
750,"The Skinjacker Trilogy: Everlost / Everwild / Everfound (Skinjacker, #1-3)",Neal Shusterman
751,"The Sphinx (Area 51, #4)",Robert Doherty
752,Doctor Who: Shada,Gareth Roberts
753,QualityLand (QualityLand #1),Marc-Uwe Kling
754,"Renegade (The Spiral Wars, #1)",Joel Shepherd
755,"Gods, Monsters, and the Lucky Peach",Kelly Robson
756,"The Eternity Code (Artemis Fowl, #3)",Eoin Colfer
757,"In Fire Forged (Worlds of Honor, #5)",David Weber
758,Misspent Youth (Commonwealth Universe #0.5),Peter F. Hamilton
759,King of Thieves (Odyssey One: Star Rogue #1),Evan Currie
760,"The Grail (Area 51, #5)",Robert Doherty
761,"XVI (XVI, #1)",Julia Karr
762,The Wolves of Winter,Tyrell Johnson
763,"Heart of Iron (Heart of Iron, #1)",Ashley Poston
764,"Santa Olivia (Santa Olivia, #1)",Jacqueline Carey
765,"The Boy on the Bridge (The Girl With All the Gifts, #2)",M.R. Carey
766,"Halo: Cryptum (Forerunner Saga, #1) (Halo, #8)",Greg Bear
767,"The Truth (Area 51, #7)",Robert Doherty
768,"A Thousand Pieces of You (Firebird, #1)",Claudia Gray
769,Kraken,China Miéville
770,"Proven Guilty (The Dresden Files, #8)",Jim Butcher
771,The Emperor's Soul,Brandon Sanderson
772,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",Terry Pratchett
773,"Stronger, Faster, and More Beautiful",Arwen Elys Dayton
774,"A Beautiful Friendship (Honorverse: Stephanie Harrington, #1)",David Weber
775,Catharsis (Awaken Online #1),Travis Bagwell
776,"Libriomancer (Magic Ex Libris, #1)",Jim C. Hines
777,"Fallen (Fallen, #1)",Lauren Kate
778,"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",Terry Pratchett
779,"This Mortal Coil (This Mortal Coil, #1)",Emily Suvada
780,7th Sigma,Steven Gould
781,Limit,Frank Schätzing
782,"Excalibur (Area 51, #6)",Robert Doherty
783,"Reboot (Reboot, #1)",Amy Tintera
784,In Fury Born,David Weber
785,"The Dream Thieves (The Raven Cycle, #2)",Maggie Stiefvater
786,Sisters of the Vast Black,Lina Rather
787,"Descender, Vol. 1: Tin Stars",Jeff Lemire
788,Fantastic Beasts and Where to Find Them,Newt Scamander
789,"Fluency (Confluence, #1)",Jennifer Foehner Wells
790,The Tea Master and the Detective,Aliette de Bodard
791,Only Ever Yours,Louise O'Neill
792,"Captain's Fury (Codex Alera, #4)",Jim Butcher
793,"Perdition (Dred Chronicles, #1)",Ann Aguirre
794,"Promise of Blood (Powder Mage, #1)",Brian  McClellan
795,"Rivers of London (Rivers of London, #1)",Ben Aaronovitch
796,"Fair Coin (Coin, #1)",E.C. Myers
797,"Academ's Fury (Codex Alera, #2)",Jim Butcher
798,"Enders (Starters, #2)",Lissa Price
799,"Silver Shark (Kinsmen, #2)",Ilona Andrews
800,"Finnikin of the Rock (Lumatere Chronicles, #1)",Melina Marchetta
801,The Expert System's Brother,Adrian Tchaikovsky
802,The Intruders,The Intruders
803,"The End is Nigh (The Apocalypse Triptych, #1)",John Joseph Adams
804,"Fire with Fire (Tales of the Terran Republic, #1)",Charles E. Gannon
805,"Silent Blade (Kinsmen, #1)",Ilona Andrews
806,"Sweep of the Blade (Innkeeper Chronicles, #4)",Ilona Andrews
807,Broken Symmetry,Dan Rix
808,The Luminous Dead,Caitlin  Starling
809,Triggers,Robert J. Sawyer
810,"Dead Man's Debt (Poor Man's Fight, #3)",Elliott Kay
811,"Fire Season (Honorverse: Stephanie Harrington, #2)",David Weber
812,"Alien: Out of the Shadows (Canonical Alien Trilogy, #1)",Tim Lebbon
813,"Rich Man's War (Poor Man's Fight, #2)",Elliott Kay
814,Chronic City,Jonathan Lethem
815,"Thief of Time (Discworld, #26; Death, #5)",Terry Pratchett
816,Halo: Silentium,Greg Bear
817,Wastelands: Stories of the Apocalypse (Wastelands #1),John Joseph Adams
818,This Is How You Lose The Time War,Amal El-Mohtar
819,Shadow of Freedom (Honorverse: Saganami Island #3),David Weber
820,"Stitch (Stitch Trilogy, #1)",Samantha Durante
821,Red Planet Blues,Robert J. Sawyer
822,Defenders,Will McIntosh
823,"House Immortal (House Immortal, #1)",Devon Monk
824,"Ghost Country (Travis Chase, #2)",Patrick  Lee
825,"Home (Binti, #2)",Nnedi Okorafor
826,"Exo (Jumper, #4)",Steven Gould
827,New York Deep,Andrew J.  Morgan
828,"Visitors (Pathfinder, #3)",Orson Scott Card
829,Amatka,Karin Tidbeck
830,"The Night Masquerade (Binti, #3)",Nnedi Okorafor
831,Dreamfall (Dreamfall #1),Amy Plum
832,The Breaking Light (Split City #1),Heather    Hansen
833,Relic,Alan Dean Foster
834,Restoring Harmony,Joelle Anthony
835,Archetype,M.D. Waters
836,"Future Shock (Future Shock, #1)",Elizabeth Briggs
837,"Updraft (Bone Universe, #1)",Fran Wilde
838,Directive 51,John Barnes
839,Zero World,Jason M. Hough
840,Steal Across the Sky,Nancy Kress
841,Saga: Book Two,Brian K. Vaughan
842,"Tinker (Elfhome, #1)",Wen Spencer
843,"Hunger (Gone, #2)",Michael  Grant
844,Machines Like Me,Ian McEwan
845,"Jumper: Griffin's Story (Jumper, #0.5)",Steven Gould
846,The Vanished Birds,Simon Jimenez
847,Midnight Robber,Nalo Hopkinson
848,"The City We Became (Great Cities, #1)",N.K. Jemisin
849,"The Sky Road (The Fall Revolution, #4)",Ken MacLeod
850,"Vivian Apple at the End of the World (Vivian Apple, #1)",Katie Coyle
851,Salvation (Salvation Sequence #1),Peter F. Hamilton
852,"Marrow (Great Ship, #1)",Robert Reed
853,Grasshopper Jungle,Andrew  Smith
854,"The Outside (The Outside, #1)",Ada Hoffmann
855,Zeitgeist,Bruce Sterling
856,Plus One,Elizabeth Fama
857,"Dreams of Gods and Monsters (Daughter of Smoke and Bone, #3)",Laini Taylor
858,iBoy,Kevin Brooks
859,"In Green's Jungles (The Book of the Short Sun, #2)",Gene Wolfe
860,The One Safe Place,Tania Unsworth
861,"Defender (Foreigner, #5)",C.J. Cherryh
862,Being,Kevin Brooks
863,The Method,Juli Zeh
864,Ship of Fools,Richard Paul Russo
865,All Men of Genius,Lev A.C. Rosen
866,The Rapture,Liz Jensen
867,The End of Mr. Y,Scarlett Thomas
868,"Spill Zone (Spill Zone, #1)",Scott Westerfeld
869,The Carhullan Army,Sarah Hall
870,The Mad Scientist's Daughter,Cassandra Rose Clarke
871,"Among the Free (Shadow Children, #7)",Margaret Peterson Haddix
872,"Among the Enemy (Shadow Children, #6)",Margaret Peterson Haddix
873,The Collected Stories of Arthur C. Clarke,Arthur C. Clarke
874,"Among the Brave (Shadow Children, #5)",Margaret Peterson Haddix
875,"Among the Barons (Shadow Children, #4)",Margaret Peterson Haddix
876,"Among the Betrayed (Shadow Children, #3)",Margaret Peterson Haddix
877,"Among the Impostors (Shadow Children, #2)",Margaret Peterson Haddix
878,The Draco Tavern,Larry Niven
879,Space Dumplins,Craig Thompson
880,"Cold Welcome (Vatta's Peace, #1)",Elizabeth Moon
881,"Impostors (Impostors, #1)",Scott Westerfeld
882,A Call to Vengeance (Manticore Ascendant Book 3),David Weber
